,year,20-29,30-39,40-49,50-59,60-69,70-79,80
0,2011,10.22633807536479,26.734090839857437,39.06844975172876,19.11840862704481,4.264782039175069,0.5787918481737595,0.00913881865537515
1,2012,9.9276656807333,27.24397458049023,38.53339971300554,19.667906404662197,4.096992415146279,0.5183471461621811,0.01171405980027528
2,2013,9.632094148702155,26.49857017157941,38.33864936207655,20.56753189617246,4.36922569291685,0.5719313682358117,0.02199736031676199
3,2014,9.43788314342119,27.01139472863921,37.630312056246325,20.655976171509717,4.547501125619091,0.6996155577875525,0.017317216776919612
4,2015,10.243197557118709,27.130705054801243,36.30786847701619,21.225257647636184,4.446807350455313,0.6325317629096461,0.01363215006270789
5,2016,9.932889643841719,28.150148979421346,34.902954526468214,21.90693659324441,4.469382640416585,0.6042716716326473,0.03341594497507727
6,2017,9.889127324749643,28.589311260985085,34.217249131412224,21.98548947475986,4.698038013488658,0.5977927651747394,0.02299202942979767
7,2018,9.984222463267923,28.838378858100782,33.81323340893403,21.666995365348583,5.117838477467705,0.5398875850507839,0.03944384183019426
8,2019,9.689030641303109,29.907734366100925,33.33409272126666,21.36462011618635,5.071192618749288,0.6014352431939856,0.03189429319968106
9,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021,8.770331815224463,27.100412058121883,31.828236824983737,24.814573845152896,6.610279765777489,0.8371286055085665,0.039037085230969416
11,2022,9.974623680719764,29.638387450256648,31.708864409712213,21.667916258146374,6.246034950112463,0.7209181613703213,0.04325508968221928
12,2023,10.835992639351517,29.787333162516596,31.22452307190608,21.08033821713913,6.321772146001724,0.698795742004612,0.05124502108033822
13,2024,12.334246981257872,29.691088228757685,30.467071634935923,20.290391880880065,6.389362174975924,0.7815393732869101,0.04629972590562264
